student_id,study_hours_per_week,attendance_rate,previous_grade,sleep_hours,extracurricular_count,part_time_job,internet_access,parental_education,study_group,final_exam_score
STU1458,13.7,100.0,64.8,6.4,1,0,1,High School,0,41.6
STU1269,12.0,84.2,74.8,5.9,0,0,1,Master's,0,82.1
STU1010,16.4,83.0,75.5,5.6,1,1,1,High School,1,66.4
STU1296,13.5,100.0,53.4,,0,0,1,Master's,0,69.1
STU1027,13.8,83.8,91.1,6.1,2,0,1,Master's,1,92.6
STU1768,5.6,92.3,61.4,5.6,0,1,1,Bachelor's,1,53.8
STU1537,17.7,91.6,82.2,8.6,3,1,1,High School,0,84.2
STU1085,14.4,87.9,79.7,,3,1,1,High School,0,72.6
STU1446,17.3,80.9,79.9,6.1,0,0,1,Bachelor's,0,65.8
STU1186,12.9,71.0,85.3,6.9,2,1,1,Master's,0,78.6
STU1314,16.1,86.0,86.3,6.6,2,1,0,Master's,0,86.6
STU1065,16.0,93.3,63.6,5.8,1,0,1,Bachelor's,0,76.4
STU1373,16.2,75.0,92.4,6.6,4,0,1,Bachelor's,0,82.5
STU1674,16.2,83.1,73.5,8.4,2,0,1,High School,1,83.6
STU1102,10.2,83.5,73.7,8.1,2,0,1,High School,1,70.1
STU1726,13.4,97.0,45.4,6.7,1,0,1,High School,0,74.2
STU1103,15.7,100.0,44.1,7.4,1,1,1,High School,1,61.6
STU1303,10.4,90.2,70.4,8.3,1,1,1,High School,0,53.4
STU1214,10.4,74.5,74.0,4.4,0,1,1,Bachelor's,1,72.5
STU1137,16.2,84.1,69.7,4.7,1,0,1,High School,1,68.6
STU1211,5.4,99.4,48.3,7.9,0,1,1,Bachelor's,0,57.2
STU1613,14.2,97.6,93.3,7.0,1,0,1,Master's,0,80.1
STU1359,11.3,70.8,65.0,7.9,1,0,1,Bachelor's,0,64.3
STU1216,14.7,85.5,80.0,6.8,0,0,1,Master's,0,81.2
STU1787,11.0,94.4,80.0,5.9,2,1,1,High School,0,51.5
STU1590,5.9,78.3,80.7,7.6,2,0,1,High School,0,49.0
STU1654,14.9,99.7,84.4,6.2,1,0,1,Bachelor's,0,81.6
STU1563,8.2,93.6,79.6,5.8,0,1,1,PhD,0,70.6
STU1788,6.6,75.2,85.5,6.3,0,0,1,High School,0,62.0
STU1123,18.8,,95.1,4.5,0,0,0,Master's,1,77.1
STU1294,10.8,78.4,68.8,8.6,0,1,1,High School,0,64.1
STU1051,15.2,80.1,,6.3,2,0,1,High School,1,76.2
STU1452,21.8,77.0,85.9,8.6,1,0,1,Bachelor's,1,77.9
STU1144,7.9,87.9,80.1,6.7,2,0,1,Bachelor's,0,71.8
STU1350,13.8,86.8,72.7,7.3,4,0,1,PhD,1,74.9
STU1432,11.3,73.2,79.9,8.1,4,0,1,Bachelor's,0,65.5
STU1080,14.3,87.3,54.0,9.2,2,0,1,Master's,0,67.1
STU1048,15.4,77.9,69.9,7.8,3,0,1,Bachelor's,0,72.3
STU1546,13.0,88.3,60.7,8.9,1,1,1,High School,0,57.8
STU1177,12.8,80.9,74.5,5.5,0,1,1,Bachelor's,0,73.9
STU1229,10.6,95.5,69.3,6.7,4,1,1,High School,0,69.9
STU1687,19.5,71.3,99.3,5.6,1,0,0,Bachelor's,0,79.2
STU1124,16.2,83.3,85.5,9.3,0,0,0,PhD,0,74.7
STU1791,5.7,70.9,80.5,5.7,3,0,1,Bachelor's,1,75.8
STU1061,10.3,70.6,58.8,5.1,3,0,1,PhD,1,54.5
STU1146,8.9,88.4,65.1,6.4,1,1,1,Master's,0,66.3
STU1264,14.4,,75.5,6.3,0,1,1,High School,1,75.8
STU1456,17.4,92.7,66.1,6.7,1,0,1,Bachelor's,1,71.1
STU1734,13.4,100.0,66.1,,1,0,1,Master's,1,77.3
STU1238,6.7,93.1,89.7,7.7,1,1,1,Master's,0,74.7
STU1725,19.3,95.8,78.2,7.5,2,0,1,Master's,0,85.2
STU1324,21.1,83.2,71.3,6.0,4,1,1,Bachelor's,0,83.7
STU1631,24.7,75.7,59.1,7.5,0,1,1,High School,1,58.6
STU1163,7.9,83.9,59.3,9.0,1,0,1,Bachelor's,0,45.9
STU1121,12.9,76.3,55.2,9.1,2,0,0,Bachelor's,1,64.9
STU1429,14.0,90.7,66.3,10.0,3,0,1,Bachelor's,1,75.8
STU1501,16.5,64.2,51.4,5.0,2,0,1,Master's,0,59.3
STU1683,9.4,88.3,75.3,6.1,1,0,1,High School,0,61.9
STU1041,14.7,85.4,78.0,7.5,1,0,0,Bachelor's,1,76.5
STU1323,15.8,82.6,85.5,7.0,2,0,0,High School,1,77.2
STU1028,14.1,,76.5,6.8,1,1,1,Master's,1,65.8
STU1195,7.5,88.5,68.1,5.7,1,1,0,Bachelor's,1,54.7
STU1752,6.9,79.2,71.6,7.3,1,0,1,,0,50.8
STU1468,17.5,91.5,78.4,6.9,2,0,1,High School,1,68.5
STU1624,14.4,86.8,58.8,6.6,2,0,1,High School,0,45.1
STU1045,13.1,88.7,72.6,10.0,0,0,1,Master's,1,80.0
STU1304,11.7,74.0,79.4,7.1,0,0,1,Bachelor's,1,68.2
STU1108,16.2,85.7,84.3,,3,1,1,Bachelor's,1,68.5
STU1722,0.6,82.7,85.7,7.7,1,1,1,Bachelor's,0,61.0
STU1575,4.7,88.6,72.6,7.2,1,1,1,Master's,0,60.4
STU1407,16.1,76.2,58.7,4.3,0,0,1,High School,1,63.7
STU1552,13.5,72.1,61.8,6.4,1,1,1,Bachelor's,1,58.3
STU1753,22.2,81.3,74.4,6.6,0,0,1,Bachelor's,0,67.2
STU1155,20.8,98.7,79.5,6.3,0,0,1,Master's,0,76.5
STU1081,8.7,94.5,,5.7,2,0,0,PhD,1,56.1
STU1319,6.1,75.1,54.4,5.4,2,1,0,PhD,1,45.2
STU1615,5.6,76.5,72.2,6.1,1,0,1,High School,1,48.5
STU1391,12.3,95.1,78.5,6.7,0,0,1,Master's,1,75.9
STU1574,12.9,84.8,76.0,,3,0,1,Bachelor's,0,71.6
STU1690,13.6,78.8,77.4,8.4,3,1,1,High School,0,79.4
STU1633,2.3,68.6,91.0,7.3,1,0,1,Master's,1,75.1
STU1773,18.8,84.9,91.1,6.9,3,0,1,High School,1,75.3
STU1488,7.7,100.0,64.4,6.3,3,0,1,Master's,0,71.3
STU1209,10.3,88.8,83.5,5.1,2,0,1,Bachelor's,1,74.8
STU1237,11.2,79.4,68.9,6.5,2,0,1,Bachelor's,1,62.8
STU1270,8.4,83.0,82.5,7.7,0,0,1,High School,1,77.5
STU1466,10.5,76.6,83.6,7.5,3,1,0,High School,0,72.8
STU1073,14.5,85.6,77.4,7.6,2,0,0,PhD,1,78.3
STU1759,14.2,83.5,90.9,5.9,1,0,1,High School,0,73.3
STU1190,20.6,93.7,52.1,5.7,2,1,1,Bachelor's,1,58.1
STU1078,15.1,,63.3,7.8,1,0,1,PhD,1,73.8
STU1101,18.5,,66.1,7.1,1,0,1,Master's,1,63.3
STU1317,8.5,,84.3,7.0,3,0,1,PhD,1,76.5
STU1567,8.7,98.3,51.5,5.9,0,0,0,Bachelor's,1,68.8
STU1593,3.7,89.6,72.4,9.9,3,1,0,,1,74.7
